item,classC,classB
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195169,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195170,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195171,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195172,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195173,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195174,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195176,http://www.wikidata.org/entity/Q1452604
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q8037184,http://www.wikidata.org/entity/Q9292374
http://www.wikidata.org/entity/Q205049,http://www.wikidata.org/entity/Q624044,http://www.wikidata.org/entity/Q235858
http://www.wikidata.org/entity/Q208544,http://www.wikidata.org/entity/Q1144025,http://www.wikidata.org/entity/Q4378924
http://www.wikidata.org/entity/Q213016,http://www.wikidata.org/entity/Q4311765,http://www.wikidata.org/entity/Q179635
http://www.wikidata.org/entity/Q212111,http://www.wikidata.org/entity/Q311552,http://www.wikidata.org/entity/Q332829
http://www.wikidata.org/entity/Q212238,http://www.wikidata.org/entity/Q1004124,http://www.wikidata.org/entity/Q20108464
http://www.wikidata.org/entity/Q213441,http://www.wikidata.org/entity/Q76757721,http://www.wikidata.org/entity/Q1068824
http://www.wikidata.org/entity/Q214609,http://www.wikidata.org/entity/Q868947,http://www.wikidata.org/entity/Q178150
http://www.wikidata.org/entity/Q223393,http://www.wikidata.org/entity/Q12483706,http://www.wikidata.org/entity/Q482
http://www.wikidata.org/entity/Q223393,http://www.wikidata.org/entity/Q20087698,http://www.wikidata.org/entity/Q1004
http://www.wikidata.org/entity/Q223393,http://www.wikidata.org/entity/Q19389852,http://www.wikidata.org/entity/Q8261
http://www.wikidata.org/entity/Q223393,http://www.wikidata.org/entity/Q19389852,http://www.wikidata.org/entity/Q182015
http://www.wikidata.org/entity/Q223393,http://www.wikidata.org/entity/Q19389852,http://www.wikidata.org/entity/Q208505
http://www.wikidata.org/entity/Q217602,http://www.wikidata.org/entity/Q1585708,http://www.wikidata.org/entity/Q380382
http://www.wikidata.org/entity/Q268592,http://www.wikidata.org/entity/Q155930,http://www.wikidata.org/entity/Q7590
http://www.wikidata.org/entity/Q268592,http://www.wikidata.org/entity/Q98278135,http://www.wikidata.org/entity/Q601401
